1345744	1381514	1306555	1351449	1316725	1376370	1259945	1242674	1311598	1233645
1151751	1116759	1091241	1146197	1093039	1170207	1242596	1164904	1100076	1124535
1774570	1395997	2441718	1356895	1364846	1398053	1427878	1449793	1503549	1395564
1476621	1741506	1265095	1807964	1374935	1604857	1322325	1433379	1264575	1438964
1628846	1919169	1534280	1806801	1706094	1516982	1650498	1548578	1608957	1556554

1365117	1383696	1343534	1355117	1413602	1388700	1458512	1593837	1381648	1361700
1625259	1667347	1602143	1587204	1571334	1547288	1610778	1694946	2181045	1608584
1439361	1357898	1331408	1554333	1472464	1296269	1395736	1456289	1450500	1382152
1481173	1374823	1399075	1315700	1475526	1381192	1319736	1475286	1455974	1385693
1885736	1693188	1923941	1918513	1701909	1690154	1884048	1780916	1770618	1735556
